english	jl	gjl	human	mass	animals	time	deriv	disyllabic
thepeople	foLk	n	human	mass	not	not	not	not
thesteam2	aange	f	not	mass	not	not	not	e
thesteam1	daava	m	not	mass	not	not	not	a
thegrain3	draasa	m	not	mass	not	not	not	a
theash	aske	f	not	mass	not	not	not	e
thefog2	dimme	f	not	mass	not	not	not	e
themead	drekke	n	not	mass	not	not	not	e
theoats1	havre	m	not	mass	not	not	not	e
thesteam3	imme	f	not	mass	not	not	not	e
thecoffee	kaffe	n	not	mass	not	not	not	e
thesilk1	seltje	n	not	mass	not	not	not	e
thebark	barsk	m	not	mass	not	not	not	not
thepetroleum	bensin	m	not	mass	not	not	not	not
theblood	bLo	n	not	mass	not	not	not	not
thelead	bLy	n	not	mass	not	not	not	not
thebread	broe	n	not	mass	not	not	not	not
thedust	damm	n	not	mass	not	not	not	not
thegreaseorfat	fett	n	not	mass	not	not	not	not
thedandruff1	fLas	n	not	mass	not	not	not	not
thehair3	fLuschen	m	not	mass	not	not	not	not
thepus	gaar	n	not	mass	not	not	not	not
thepoison	gift	n	not	mass	not	not	not	not
thegrass2	gres	n	not	mass	not	not	not	not
thegrain4	gropp	n	not	mass	not	not	not	not
thegrain5	gusslaan	n	not	mass	not	not	not	not
thehair2	haaur	n	not	mass	not	not	not	not
thethatch	haLm	m	not	mass	not	not	not	not
thehay	hoey	n	not	mass	not	not	not	not
thehoney	honung	m	not	mass	not	not	not	not
thesoil	jorL	f	not	mass	not	not	not	not
thetobacco1	kardus	m	not	mass	not	not	not	not
themeat	kjott	n	not	mass	not	not	not	not
thebarley	korn	n	not	mass	not	not	not	not
thegrain2	korn	n	not	mass	not	not	not	not
theclaymud	leir	m	not	mass	not	not	not	not
theleather	ler	n	not	mass	not	not	not	not
theglue	lim	n	not	mass	not	not	not	not
theair	luft	f	not	mass	not	not	not	not
thehair1	luv	m	not	mass	not	not	not	not
themaizecorn	majs	m	not	mass	not	not	not	not
thefood	mat	m	not	mass	not	not	not	not
themilk	mjaeLk	f	not	mass	not	not	not	not
thedandruff2	mjell	n	not	mass	not	not	not	not
theflour	mjoeL	n	not	mass	not	not	not	not
thedarkness	morsker	n	not	mass	not	not	not	not
thebeer1	oeL	n	not	mass	not	not	not	not
theearwax	oervaks	n	not	mass	not	not	not	not
thebeer2	pilsn	n	not	mass	not	not	not	not
theplastic	pLastik	m	not	mass	not	not	not	not
therye	raag	m	not	mass	not	not	not	not
thedebris	rat	n	not	mass	not	not	not	not
therain	regn	n	not	mass	not	not	not	not
therice	ris	n	not	mass	not	not	not	not
thesmoke	roeyk	m	not	mass	not	not	not	not
thesalt	salht	n	not	mass	not	not	not	not
thesand	sann	m	not	mass	not	not	not	not
thesap	sav	m	not	mass	not	not	not	not
thegrain1	se	f	not	mass	not	not	not	not
thesilk2	siden	n	not	mass	not	not	not	not
thesilver1	silver	n	not	mass	not	not	not	not
thefog1	skrugg	m	not	mass	not	not	not	not
thebutter	smoer	n	not	mass	not	not	not	not
thenasalmucus	snaar	m	not	mass	not	not	not	not
thesnow	snoe	m	not	mass	not	not	not	not
thesilver2	soelv	n	not	mass	not	not	not	not
thesugar	sokker	n	not	mass	not	not	not	not
theshavings	spaan	n	not	mass	not	not	not	not
theice2	speik	m	not	mass	not	not	not	not
thegums1	tannhull	n	not	mass	not	not	not	not
thegums2	tannkjott	n	not	mass	not	not	not	not
thetea	te	n	not	mass	not	not	not	not
thetin	tenn	n	not	mass	not	not	not	not
thewool1	to	n	not	mass	not	not	not	not
thetobacco2	tobak	m	not	mass	not	not	not	not
thegrass1	tov	m	not	mass	not	not	not	not
thewool2	ull	f	not	mass	not	not	not	not
thefelt	vaammaL	n	not	mass	not	not	not	not
thewood,firewood	ve	m	not	mass	not	not	not	not
thewool3	veft	m	not	mass	not	not	not	not
thewheat	veite	n	not	mass	not	not	not	not
thewine	vin	n	not	mass	not	not	not	not
theointment1	smorning	m	not	mass	not	not	ingna	not
thestarch	starsels	f	not	mass	not	not	els	not
thepepper	peppar	m	not	mass	not	not	arphon	not
thelinen	linne	n	not	mass	not	not	not	e
thewater	vatten	n	not	mass	not	not	not	not
thecloth	tyg	n	not	mass	not	not	not	not
theskinorhide2	skinn	n	not	mass	not	not	not	not
thepaper	papper	n	not	mass	not	not	not	not
thelight	ljoes	n	not	mass	not	not	not	not
thecharcoal	kaaL	n	not	mass	not	not	not	not
theiron	jarn	n	not	mass	not	not	not	not
theoats2	havergryn	n	not	mass	not	not	not	not
theglass	gLas	n	not	mass	not	not	not	not
thecattle	krak	n	not	mass	animal	not	not	not
theoil	olja	f	not	mass	not	not	not	a
thesoup3	soppe	f	not	mass	not	not	not	e
theointment2	salve	f	not	mass	not	not	not	e
thewind	vinn	m	not	mass	not	not	not	not
thesoap	tvaaL	m	not	mass	not	not	not	not
theice3	isfLaekk	m	not	mass	not	not	not	not
theice1	is	m	not	mass	not	not	not	not
theskinorhide1	hu	f	not	mass	not	not	not	not
thefire1	ell	m	not	mass	not	not	not	not
thedough	deig	m	not	mass	not	not	not	not
thesoup2	veling	m	not	mass	not	not	ingv	not
thesoup1	kokning	f	not	mass	not	not	ingv	not
theplaintiff	kaerande	m	human	not	not	not	not	not
theperson	menisch	f	human	not	not	not	not	not
thedefendant	svarande	m	human	not	not	not	not	not
theslave1	truL	m	human	not	not	not	not	not
therelatives1	slaekt	f	human	not	not	not	not	not
thewitness	vittne	n	human	not	not	not	not	e
thesibling	syschen	n	human	not	not	not	not	not
thebaby	smaaubarn	n	human	not	not	not	not	not
theservant2	jon,tjaenstejon	n	human	not	not	not	not	not
theguest	fremmen	n	human	not	not	not	not	not
thegrandchild	barnbarn	n	human	not	not	not	not	not
thechild	barn	n	human	not	not	not	not	not
thefriend1	venn	m	human	not	not	not	not	not
theenemy	ovenn	m	human	not	not	not	not	not
thecitizen2	lansman	m	human	not	not	not	not	not
theancestors	foerfader	m	human	not	not	not	not	not
thefarmer	bonn	m	human	not	not	not	not	not
thenoble	adelsman	m	human	not	not	not	not	not
theneighbour	granne	m	human	not	not	not	not	e
thecaptiveorprisoner	faange	m	human	not	not	not	not	e
theguard	vakt	m	human	not	not	not	not	not
thehost	vaerd	m	human	not	not	not	not	not
thestranger1	utboeLing	m	human	not	not	not	not	not
thethief	tjyv	m	human	not	not	not	not	not
thesoldier	soldat	m	human	not	not	not	not	not
theblacksmith	sme	m	human	not	not	not	not	not
thesculptor	skulhptoer	m	human	not	not	not	not	not
thenurse	sjukskoetersk	f	human	not	not	not	not	not
theslave2	shlav	m	human	not	not	not	not	not
